mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.003503004709879557,0.0005214042379234917,0.0009493033091227213,0.00025446120065477084,saga,l2,0.1,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.1}",0.8137019230769231,0.7884615384615384,0.8064903846153846,0.8028846153846154,0.010615097195105611,3
0.0003546873728434245,3.0146728058239696e-05,0.0,0.0,lbfgs,none,1.0,"{'solver': 'lbfgs', 'penalty': 'none', 'C': 1.0}",,,,,,6
0.0003101030985514323,1.5613939527184566e-06,0.0,0.0,saga,none,0.1,"{'solver': 'saga', 'penalty': 'none', 'C': 0.1}",,,,,,6
0.0003579457600911458,3.89969686573244e-05,0.0,0.0,sag,elasticnet,0.1,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,6
0.0003237724304199219,2.0230487285229133e-06,0.0,0.0,sag,elasticnet,0.01,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 0.01}",,,,,,6
0.003183762232462565,0.00012510204502227078,0.0005903244018554688,2.9904825047654193e-05,saga,l2,0.01,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.01}",0.7800480769230769,0.7776442307692307,0.7680288461538461,0.7752403846153846,0.005192901200647306,5
0.002900203069051107,0.0012853427581683173,0.0005851586659749349,3.7218931391110296e-05,newton-cg,l2,100.0,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,1
0.000333706537882487,1.007081382602913e-05,0.0,0.0,saga,elasticnet,0.1,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,6
0.0044707457224528,8.866144105821551e-05,0.0005695025126139323,2.857134967628647e-05,liblinear,l1,100.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,2
0.002629359563191732,2.5858128704998274e-05,0.0005905628204345703,5.764932976825121e-06,sag,l2,0.1,"{'solver': 'sag', 'penalty': 'l2', 'C': 0.1}",0.8137019230769231,0.7884615384615384,0.8064903846153846,0.8028846153846154,0.010615097195105611,3
