mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0005535284678141276,0.00017804854440753762,0.0,0.0,saga,elasticnet,0.1,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,6
0.0021102428436279297,0.0003133641966927357,0.0007100105285644531,0.00022918222834979242,liblinear,l1,0.1,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.1}",0.8245192307692307,0.7980769230769231,0.8064903846153846,0.8096955128205128,0.011030368507961668,3
0.0013440450032552083,7.283426362656748e-05,0.0005384286244710287,1.884596277490716e-05,liblinear,l2,0.1,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.1}",0.8185096153846154,0.7872596153846154,0.8040865384615384,0.8032852564102564,0.012770334495600342,4
0.0003303686777750651,5.458807869299062e-06,0.0,0.0,newton-cg,elasticnet,100.0,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'C': 100}",,,,,,6
0.0003535747528076172,2.070904747926639e-05,0.0,0.0,sag,l1,0.1,"{'solver': 'sag', 'penalty': 'l1', 'C': 0.1}",,,,,,6
0.0015984376271565754,9.571673742529427e-05,0.0005866686503092448,6.308243030068343e-05,liblinear,l2,100.0,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,2
0.0003279844919840495,3.080021917832073e-06,0.0,0.0,sag,l1,100.0,"{'solver': 'sag', 'penalty': 'l1', 'C': 100}",,,,,,6
0.002480586369832357,0.0013627058883053634,0.0005863507588704427,3.719346815325887e-05,newton-cg,l2,0.01,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 0.01}",0.7800480769230769,0.7776442307692307,0.7680288461538461,0.7752403846153846,0.005192901200647306,5
0.00034999847412109375,8.591894627723427e-06,0.0,0.0,saga,elasticnet,1.0,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,6
0.05510489145914713,0.014125821362088209,0.004122098286946614,0.0022009966583886975,lbfgs,l2,10.0,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 10}",0.8173076923076923,0.8040865384615384,0.8125,0.811298076923077,0.005464015102959082,1
